taxonrank	scientificname	countrycode	locality	decimallatitude	decimallongitude	eventdate	basisofrecord	institutioncode	collectioncode	recordedby
GENUS	Teskeyellus Philip & Fairchild, 1974	BR	Presidente FIgueiredo, BR-174, Km 113	2.053333	-59.923333	2015-01-29T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Xavier, F. F.
GENUS	Ornidia Lepeletier & Serville, 1828	BR	Reserva Ducke, AM 010, Km 26	-2.930833	-59.974722	2016-03-07T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Braga, C. E.
GENUS	Palpada Macquart, 1834	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Marques, D. W. A.; Maldaner, C.
GENUS	Pelecinobaccha Shannon, 1927	BR	Estrada para Alvarães, Km 04/05, Ramal São Joaquim	-3.2725	-64.805833	2015-04-25T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Miranda, Gil
GENUS	Copestylum Macquart, 1846	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rafael, J. A.; Heleodoro, R. A.; Mendes, D. M. M.
SPECIES	Ocyptamus callidus (Hine, 1914)	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rafael, J. A.; Heleodoro, R. A.; Mendes, D. M. M.; Marques, D. W. A.; Maldaner, C.
SPECIES	Ocyptamus callidus (Hine, 1914)	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rafael, J. A.; Heleodoro, R. A.; Mendes, D. M. M.; Marques, D. W. A.; Maldaner, C.
GENUS	Palpada Macquart, 1834	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Marques, D. W. A.; Maldaner, C.
KINGDOM	incertae sedis	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rafael, J. A.; Heleodoro, R. A.; Mendes, D. M. M.; Marques, D. W. A.; Maldaner, C.
FAMILY	Syrphidae	BR	AM-070, km 28, Sítio Santa Marta	-3.1	-60.316667	2015-02-03T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Oliveira, M. L.; Silveira, F. A.
