decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	recordedBy	scientificName	stateProvince
-3.1452778	-60.0230556	1984-01-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande		Brycon cephalus	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande		Steatogenys elegans	Amazonas
-3.0827778	-60.0038889	2006-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	igarapé afluente da margem esquerda do igarapé do Mindu		Poecilia reticulata	Amazonas
-3.1416667	-60.0244444	1978-10-30	Instituto Nacional de Pesquisas da Amazônia (INPA)	igarapé próximo a estrada da Piscicultura (Km 21) Am 10.		Nannostomus	Amazonas
-3.095278	-60.03	1974-04-16	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus, Igarapé represado, perto de Manaus.	Mike Hopkins	Oxycaryum cubense (Poepp. & Kunth) Palla	Amazonas
-3.116667	-60.02	1975-11-13	Instituto Nacional de Pesquisas da Amazônia (INPA)	BR174, km 45, Campina INPA, Campina da Reserva Experimental do INPA. Estrada Manaus-Caracaraí, km 60. Solo arenoso, vegetação campina.	Mike Hopkins	Clusia renggerioides Planch. & Triana	Amazonas
-3.098917	-59.99	2014-04-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	Petrópolis, Rua Bem Te Vi. Estacionamento em frente ao Bosque da Ciência.	Mike Hopkins	Turneraceae	Amazonas
-3.0925	-59.9894444	1978-07-07	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus-INPA		Ideobisium brasiliense	Amazonas
-3.0926611	-59.9897167	1979-02-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0827778	-60.0038889	2006-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	igarapé afluente da margem esquerda do igarapé do Mindu	dos Anjos, H.D.B.; , et al.	Oreochromis niloticus	Amazonas
-3.0963889	-59.9686111	2010-09-25	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário da Ufam, Igarapé P06	Penhalosa-Duarte, N.; Pereira, A.; Mesquita, A.; Mendes, D.; Catarino, M.	Crenicichla inpa	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande	Cox Fernandes, C.	Steatogenys elegans	Amazonas
-3.1452778	-60.0230556	1990-11-30	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus	Lundberg, J.G.; Chao, L.N.	Amaralia hypsiura	Amazonas
-3.0926611	-59.9897167	1978-05-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1383528	-60.0240222	1978-05-15	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande		Rhamphichthys drepanium	Amazonas
-3.1416667	-60.0244444	1980-01-29	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Tauma-Açu, lago Acurau próximo a desembocadura na margem direita		Heros efasciatus	Amazonas
-3.0926611	-59.9897167	1981-03-13	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus		Pseudopilanus crassifemoratus	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão	Chao, L.N.	Distocyclus conirostris	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão	Chao, L.N.	Rhabdolichops eastwardi	Amazonas
-3.0766056	-59.9800722	1994-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus, Conjunto Petro		Amblyomma disYesile	Amazonas
-3.1383528	-60.0240222	1978-01-03	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-02-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma disYesile	Amazonas
-3.1452778	-60.0230556	1989-03-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro		Pseudostegophilus nemurus	Amazonas
-3.1416667	-60.0244444	1978-10-30	Instituto Nacional de Pesquisas da Amazônia (INPA)	Am, 10. Km 21 (2 km para dentro do igarapé próximo a estrada da Psicultura.		Axelrodia riesei	Amazonas
-3.0952	-59.97	1878-07-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Copestylum	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Plagioscion	Amazonas
-3.090194	-60.01	2011-09-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Passeio do Mindu	Mike Hopkins	Terminalia catappa L.	Amazonas
-3.1452778	-60.0230556	1990-11-30	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro	Lundberg, J.G.; Chao, L.N.	Apteronotus	Amazonas
-3.1383528	-60.0240222	1981-02-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Rafael, J.A.	Amblyomma	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão		Adontosternarchus clarkae	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande		Rhabdolichops eastwardi	Amazonas
-3.1416667	-60.0244444	1979-11-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Acurau	, Equipe de Ictiologia do INPA	Hypselecara	Amazonas
-3.1416667	-60.0244444	1979-07-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	Baixo rio Negro.	, Mauro	Anostomoides laticeps	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande	Cox Fernandes, C.; Lowe-McConnell, R.	Sternarchogiton preto	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande	Cox Fernandes, C.; Lowe-McConnell, R.	Sternarchorhynchus oxyrhynchus	Amazonas
-3.0952	-59.97	1978-10-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Copestylum	Amazonas
-3.0926611	-59.9897167	1979-02-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-02-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma disYesile	Amazonas
-3.0926611	-59.9897167	1979-07-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.1452778	-60.0230556	1992-12-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão		Distocyclus conirostris	Amazonas
-3.1452778	-60.0230556	1992-09-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, rio Negro		Distocyclus conirostris	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Próximo à Manaus		Tympanopleura brevis	Amazonas
-3.0960556	-59.9894056	2015-06-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-Campus II	Mahlmann, Thiago	Phanuropsis semiflaviventris	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão	Chao, L.N.	Pimelodina flavipinnis	Amazonas
-3.0926611	-59.9897167	1978-05-06	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1452778	-60.0230556	1996-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, em frente à Manaus		Opsodoras morei	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande	Cox Fernandes, C.	Steatogenys elegans	Amazonas
-3.0926611	-59.9897167	1978-06-09	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-07-07	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-05-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0827778	-60.0038889	2006-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	igarapé afluente da margem esquerda do igarapé do Mindu		Ctenobrycon hauxwellianus	Amazonas
-3.0960556	-59.9894056	2015-06-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-Campus II	Mahlmann, Thiago	Phanuropsis semiflaviventris	Amazonas
-3.1383528	-60.0240222	1977-12-16	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma	Amazonas
